cloudcover_mean val_MAE,cloudcover_mean val_MAPE,cloudcover_mean val_RMSE,cloudcover_mean val_SMAPE,epoch,humidity_mean val_MAE,humidity_mean val_MAPE,humidity_mean val_RMSE,humidity_mean val_SMAPE,lr-AdamW,precip_sum val_MAE,precip_sum val_MAPE,precip_sum val_RMSE,precip_sum val_SMAPE,pressure_mean val_MAE,pressure_mean val_MAPE,pressure_mean val_RMSE,pressure_mean val_SMAPE,step,temp_max val_MAE,temp_max val_MAPE,temp_max val_RMSE,temp_max val_SMAPE,temp_min val_MAE,temp_min val_MAPE,temp_min val_RMSE,temp_min val_SMAPE,train_loss_epoch,train_loss_step,val_loss,wind_max val_MAE,wind_max val_MAPE,wind_max val_RMSE,wind_max val_SMAPE,wind_mean val_MAE,wind_mean val_MAPE,wind_mean val_RMSE,wind_mean val_SMAPE
,,,,4,,,,,,,,,,,,,,134,,,,,,,,,,14.143614768981934,,,,,,,,,
,,,,4,,,,,,,,,,,,,,139,,,,,,,,,,14.049625396728516,,,,,,,,,
1.536012053489685,4421533.5,1.9680505990982056,0.1610790193080902,4,6.596537113189697,0.1076771542429924,8.013289451599121,0.09772682934999466,,0.45724615454673767,721.490234375,1.2376976013183594,1.8070926666259766,3.5424110889434814,0.0034973497968167067,4.754002094268799,0.0034931711852550507,139,2.3751161098480225,0.5507042407989502,3.183565378189087,0.6110591292381287,2.0802595615386963,0.5690853595733643,2.9056482315063477,0.5115132927894592,,,13.986409187316895,1.5111151933670044,0.11771931499242783,1.9465423822402954,0.1082834005355835,1.818293571472168,0.20480000972747803,2.2962241172790527,0.17858736217021942
,,,,4,,,,,,,,,,,,,,139,,,,,,,,,14.427656173706055,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,140,,,,,,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,,,144,,,,,,,,,,12.824935913085938,,,,,,,,,
,,,,5,,,,,,,,,,,,,,149,,,,,,,,,,13.152690887451172,,,,,,,,,
,,,,5,,,,,,,,,,,,,,154,,,,,,,,,,12.768468856811523,,,,,,,,,
,,,,5,,,,,,,,,,,,,,159,,,,,,,,,,12.746641159057617,,,,,,,,,
,,,,5,,,,,,,,,,,,,,164,,,,,,,,,,12.21699333190918,,,,,,,,,
1.572780966758728,4145267.0,1.9781494140625,0.15287619829177856,5,6.340975284576416,0.1042666956782341,7.749832630157471,0.09448304027318954,,0.4572453498840332,619.9769897460938,1.237697720527649,1.710176944732666,2.469241142272949,0.0024329277221113443,3.499023199081421,0.0024331898894160986,167,1.989538550376892,0.4643341600894928,2.7115821838378906,0.5297780632972717,1.6083873510360718,0.548643171787262,2.3280608654022217,0.4329119622707367,,,11.853222846984863,1.0182671546936035,0.07695461064577103,1.2749258279800415,0.07472173124551773,1.6228923797607422,0.17328228056430817,1.9834884405136108,0.15976069867610931
,,,,5,,,,,,,,,,,,,,167,,,,,,,,,12.712578773498535,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,168,,,,,,,,,,,,,,,,,,,
,,,,6,,,,,,,,,,,,,,169,,,,,,,,,,12.371463775634766,,,,,,,,,
,,,,6,,,,,,,,,,,,,,174,,,,,,,,,,11.773359298706055,,,,,,,,,
,,,,6,,,,,,,,,,,,,,179,,,,,,,,,,11.334375381469727,,,,,,,,,
,,,,6,,,,,,,,,,,,,,184,,,,,,,,,,11.333477973937988,,,,,,,,,
,,,,6,,,,,,,,,,,,,,189,,,,,,,,,,10.674520492553711,,,,,,,,,
,,,,6,,,,,,,,,,,,,,194,,,,,,,,,,10.747519493103027,,,,,,,,,
1.2861518859863281,3332721.0,1.604568600654602,0.13598929345607758,6,5.481597423553467,0.09009122103452682,6.677841663360596,0.08285601437091827,,0.4572477638721466,856.2218627929688,1.237697720527649,1.7104214429855347,2.1845703125,0.0021556213032454252,2.924983024597168,0.002156197791919112,195,1.956247329711914,0.47619739174842834,2.5807836055755615,0.5050162076950073,1.4675050973892212,0.4964934289455414,2.1373493671417236,0.38597020506858826,,,10.296890258789062,0.7498829960823059,0.055137988179922104,0.9393168091773987,0.05469682812690735,1.519240379333496,0.15699242055416107,1.8087555170059204,0.14888916909694672
,,,,6,,,,,,,,,,,,,,195,,,,,,,,,11.290240287780762,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,196,,,,,,,,,,,,,,,,,,,
,,,,7,,,,,,,,,,,,,,199,,,,,,,,,,10.416919708251953,,,,,,,,,
,,,,7,,,,,,,,,,,,,,204,,,,,,,,,,10.643957138061523,,,,,,,,,
,,,,7,,,,,,,,,,,,,,209,,,,,,,,,,10.353036880493164,,,,,,,,,
,,,,7,,,,,,,,,,,,,,214,,,,,,,,,,10.117152214050293,,,,,,,,,
,,,,7,,,,,,,,,,,,,,219,,,,,,,,,,9.943426132202148,,,,,,,,,
0.9933574795722961,4998226.0,1.2947074174880981,0.1318732053041458,7,5.408456325531006,0.0894654393196106,6.580482482910156,0.08216095715761185,,0.4572559595108032,1683.6956787109375,1.237697720527649,1.6579885482788086,1.5164116621017456,0.0014957310631871223,2.1822121143341064,0.0014945603907108307,223,1.810498833656311,0.4597219228744507,2.509960651397705,0.4937821924686432,1.1712857484817505,0.3792387545108795,1.835248351097107,0.2967090606689453,,,9.145615577697754,0.5957115292549133,0.04306170344352722,0.7775616645812988,0.04295896366238594,1.4779187440872192,0.14831256866455078,1.7124338150024414,0.14504235982894897
,,,,7,,,,,,,,,,,,,,223,,,,,,,,,10.2510347366333,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,224,,,,,,,,,,,,,,,,,,,
,,,,8,,,,,,,,,,,,,,224,,,,,,,,,,9.83314323425293,,,,,,,,,
,,,,8,,,,,,,,,,,,,,229,,,,,,,,,,9.752141952514648,,,,,,,,,
,,,,8,,,,,,,,,,,,,,234,,,,,,,,,,9.243156433105469,,,,,,,,,
,,,,8,,,,,,,,,,,,,,239,,,,,,,,,,9.425931930541992,,,,,,,,,
,,,,8,,,,,,,,,,,,,,244,,,,,,,,,,9.023639678955078,,,,,,,,,
,,,,8,,,,,,,,,,,,,,249,,,,,,,,,,9.178642272949219,,,,,,,,,
1.14250910282135,8129201.5,1.4167089462280273,0.15580643713474274,8,5.199626922607422,0.08479276299476624,6.379022598266602,0.07869144529104233,,0.4572555720806122,1625.578125,1.237697720527649,1.5765210390090942,1.37088143825531,0.0013530416181311011,1.8573883771896362,0.00135229027364403,251,1.7705774307250977,0.4324394762516022,2.4692118167877197,0.4790690839290619,1.0790716409683228,0.37326207756996155,1.680167317390442,0.2842353582382202,,,8.650458335876465,0.5366058945655823,0.038624268025159836,0.7153515815734863,0.03928689658641815,1.4139350652694702,0.14114266633987427,1.6559134721755981,0.13969947397708893
,,,,8,,,,,,,,,,,,,,251,,,,,,,,,9.449034690856934,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,252,,,,,,,,,,,,,,,,,,,
,,,,9,,,,,,,,,,,,,,254,,,,,,,,,,9.245025634765625,,,,,,,,,
,,,,9,,,,,,,,,,,,,,259,,,,,,,,,,9.19468879699707,,,,,,,,,
,,,,9,,,,,,,,,,,,,,264,,,,,,,,,,8.798922538757324,,,,,,,,,
,,,,9,,,,,,,,,,,,,,269,,,,,,,,,,8.665273666381836,,,,,,,,,
,,,,9,,,,,,,,,,,,,,274,,,,,,,,,,8.605728149414062,,,,,,,,,
,,,,9,,,,,,,,,,,,,,279,,,,,,,,,,8.604689598083496,,,,,,,,,
1.0990253686904907,6767664.5,1.3289978504180908,0.139143168926239,9,5.460127353668213,0.09101808071136475,6.66614294052124,0.08309266716241837,,0.457244873046875,536.3485717773438,1.2376978397369385,1.4127397537231445,1.130073070526123,0.0011161528527736664,1.552871823310852,0.0011155970860272646,279,1.6039724349975586,0.3749774694442749,2.203840494155884,0.38587066531181335,1.0700122117996216,0.37998637557029724,1.6342681646347046,0.3029606342315674,,,8.320411682128906,0.4782775938510895,0.03455983102321625,0.615849494934082,0.034863200038671494,1.3487154245376587,0.1348833441734314,1.5927000045776367,0.13275688886642456
,,,,9,,,,,,,,,,,,,,279,,,,,,,,,8.796902656555176,,,,,,,,,,
,,,,,,,,,0.001,,,,,,,,,280,,,,,,,,,,,,,,,,,,,
,,,,10,,,,,,,,,,,,,,284,,,,,,,,,,8.24039077758789,,,,,,,,,
,,,,10,,,,,,,,,,,,,,289,,,,,,,,,,8.127593040466309,,,,,,,,,
,,,,10,,,,,,,,,,,,,,294,,,,,,,,,,8.258123397827148,,,,,,,,,
,,,,10,,,,,,,,,,,,,,299,,,,,,,,,,8.276958465576172,,,,,,,,,
,,,,10,,,,,,,,,,,,,,304,,,,,,,,,,8.355852127075195,,,,,,,,,
0.751969039440155,4869839.5,0.9906980395317078,0.15888160467147827,10,5.082303524017334,0.08354676514863968,6.241601467132568,0.07713337987661362,,0.45724478363990784,528.363525390625,1.2376978397369385,1.3924256563186646,1.0534226894378662,0.0010398710146546364,1.4435316324234009,0.0010391250252723694,307,1.5990147590637207,0.38016414642333984,2.2179534435272217,0.4207823574542999,1.1685032844543457,0.44829487800598145,1.7420988082885742,0.3557356595993042,,,7.885833740234375,0.4370518922805786,0.031305838376283646,0.5795412063598633,0.03142677620053291,1.3410228490829468,0.13299165666103363,1.5932039022445679,0.13171015679836273
